            2MASS ID        R min       XR Max
  2M08513784+1150570         0.00       260.46
  2M08513784+1150570         0.00       260.46
  2M08513784+1150570         0.00       264.06
  2M08513784+1150570         0.00       264.06
  2M08513784+1150570         0.00       264.06
  2M08513784+1150570         0.46       278.20
  2M08514194+1143371         0.00        12.98
  2M08514194+1143371         0.00        16.49
  2M08514194+1143371         0.00        19.83
  2M08514194+1143371         0.00        19.83
  2M08514194+1143371         0.00        19.83
  2M08514194+1143371         0.00        19.83
  2M08514194+1143371         0.00        20.29
  2M08514194+1143371        14.72        20.29
  2M08514355+1144264         0.00         0.38
  2M08514355+1144264         0.00         0.38
  2M08514355+1144264        61.66         0.82
  2M08514832+1151118         0.00         7.68
  2M08514832+1151118         0.00         7.68
  2M08514832+1151118         0.00         7.68
  2M08514832+1151118         0.00         7.81
  2M08514832+1151118         0.00         7.81
  2M08514832+1151118         0.00         7.81
  2M08514832+1151118         0.00         7.81
  2M08514832+1151118        16.92         7.81
  2M08515020+1146069         0.00         0.16
  2M08515020+1146069         0.00         0.54
  2M08515020+1146069        74.47         0.54
  2M09380671+5601073         0.00       225.17
  2M09380671+5601073         0.00       225.17
  2M09380671+5601073         3.56       225.17
  2M10331492+2936548         0.00         2.34
  2M10331492+2936548         0.00         3.70
  2M10331492+2936548        32.13         7.20
  2M10452050+4533586         0.00       217.38
  2M10452050+4533586         0.00       217.38
  2M10452050+4533586         1.63       217.38
  2M11433068-1502341         0.00        84.32
  2M11433068-1502341         0.00       136.02
  2M11433068-1502341         0.00       210.97
  2M11433068-1502341         6.47       210.97
  2M12240346+2551043         0.00        29.19
  2M12240346+2551043         9.39        29.19
  2M12281386+2502005         0.00         1.27
  2M12281386+2502005         0.00         2.12
  2M12281386+2502005        19.45         3.84
  2M12283815+2613370         4.28       232.77
  2M12284457+2553575         0.00       232.10
  2M12284457+2553575         0.00       232.10
  2M12284457+2553575         3.44       232.10
  2M13082991-0240443         0.00        23.42
  2M13082991-0240443         0.00       106.40
